@relation 'EmailRelation-weka.filters.unsupervised.attribute.Remove-R5-6,17-18,21-22-weka.filters.supervised.instance.Resample-B0.0-S1-Z15.0-weka.filters.unsupervised.attribute.Remove-R4,14-16-weka.filters.unsupervised.attribute.Remove-R1-3,13'

@attribute charSeq1 numeric
@attribute charSeq2 numeric
@attribute charSeq3 numeric
@attribute charSeq4 numeric
@attribute charSeq5 numeric
@attribute charSeq6 numeric
@attribute charSeq7 numeric
@attribute charSeq8 numeric
@attribute charSeq9 numeric
@attribute whiteSpaceCount numeric
@attribute spam {SPAM,NOTSPAM}

@data
0.061538,0.076923,0.138462,0.107692,0.138462,0.061538,0.053846,0.069231,0.023077,0.195026,SPAM
0,0.1,0.3,0.2,0,0.1,0.2,0,0.1,0.217391,SPAM
0.032258,0.16129,0.16129,0.225806,0.032258,0.032258,0.16129,0.032258,0.032258,0.227273,SPAM
0.062016,0.085271,0.046512,0.139535,0.131783,0.108527,0.069767,0.054264,0.015504,0.201913,SPAM
0.107143,0.178571,0.160714,0.142857,0.142857,0,0.071429,0.017857,0,0.227414,SPAM
0.021459,0.038627,0.051502,0.096567,0.079399,0.072961,0.06867,0.05794,0.036481,0.181476,SPAM
0.02381,0.077381,0.136905,0.119048,0.166667,0.083333,0.071429,0.041667,0.011905,0.214362,SPAM
0.019608,0.117647,0.313725,0.156863,0.078431,0.019608,0.098039,0.039216,0,0.219269,SPAM
0.128713,0.069307,0.178218,0.158416,0.079208,0.059406,0.049505,0.059406,0.009901,0.247961,SPAM
0.068182,0.204545,0.068182,0.136364,0.113636,0.090909,0.136364,0,0.045455,0.220736,SPAM
0.006579,0.002632,0.034211,0.073684,0.134211,0.148684,0.139474,0.186842,0.1,0.126176,SPAM
0.006579,0.002632,0.034211,0.073684,0.134211,0.148684,0.139474,0.186842,0.1,0.126176,SPAM
0.0125,0.0625,0.1875,0.275,0.15,0.125,0.075,0.05,0,0.222437,SPAM
0.059211,0.065789,0.098684,0.171053,0.046053,0.085526,0.111842,0.072368,0.052632,0.197383,SPAM
0.01084,0.03252,0.03252,0.065041,0.059621,0.042457,0.052394,0.039747,0.033424,0.182328,SPAM
0.009515,0.028544,0.035205,0.0647,0.059943,0.045671,0.058991,0.047574,0.044719,0.177126,SPAM
0.142857,0,0.285714,0.285714,0,0,0.142857,0.142857,0,0.184211,SPAM
0.214286,0.047619,0.095238,0.142857,0.047619,0.071429,0.095238,0,0,0.268293,SPAM
0.023529,0.129412,0.047059,0.078431,0.062745,0.039216,0.035294,0.023529,0.007843,0.308527,SPAM
0,0.190476,0.142857,0.190476,0.047619,0.047619,0.142857,0.142857,0,0.202703,SPAM
0.122807,0.035088,0.140351,0.105263,0.070175,0.087719,0.052632,0.140351,0.035088,0.237288,SPAM
0.086207,0.068966,0.077586,0.146552,0.077586,0.086207,0.086207,0.077586,0.043103,0.203518,SPAM
0.037671,0.085616,0.099315,0.126712,0.037671,0.071918,0.05137,0.044521,0.006849,0.256711,SPAM
0.070175,0.087719,0.134503,0.128655,0.076023,0.035088,0.046784,0.046784,0.017544,0.251693,SPAM
0.022484,0.034261,0.044968,0.06424,0.057816,0.04818,0.066381,0.059957,0.035332,0.18472,SPAM
0.057471,0.091954,0.172414,0.183908,0.08046,0.08046,0.08046,0.022989,0,0.239175,SPAM
0.179487,0.059829,0.094017,0.111111,0.051282,0.059829,0.068376,0.034188,0,0.27592,SPAM
0.074074,0.185185,0.111111,0.166667,0.074074,0.166667,0.092593,0.037037,0.018519,0.213592,SPAM
0.023256,0.104651,0.139535,0.186047,0.081395,0.116279,0.046512,0.023256,0.023256,0.225694,SPAM
0.060606,0.136364,0.121212,0.257576,0.045455,0.045455,0.090909,0.030303,0,0.235955,SPAM
0.022099,0.088398,0.138122,0.143646,0.121547,0.077348,0.055249,0.044199,0.027624,0.209325,SPAM
0.033708,0.067416,0.101124,0.134831,0.11236,0.101124,0.134831,0.123596,0.11236,0.165625,SPAM
0,0.058394,0.10219,0.058394,0.072993,0.080292,0.065693,0.080292,0.043796,0.169928,SPAM
0.041667,0.133333,0.116667,0.158333,0.066667,0.083333,0.05,0.016667,0.041667,0.230428,SPAM
0.026316,0.052632,0.045113,0.041353,0.161654,0.165414,0.176692,0.105263,0.109023,0.16566,SPAM
0.021277,0.095745,0.170213,0.117021,0.117021,0.053191,0.074468,0.085106,0.021277,0.2,SPAM
0,0.033333,0.2,0.233333,0.2,0.183333,0.083333,0,0,0.212714,SPAM
0.108434,0.156627,0.156627,0.192771,0.096386,0.048193,0.048193,0.024096,0,0.235294,SPAM
0.023026,0.059211,0.085526,0.111842,0.092105,0.046053,0.046053,0.036184,0.036184,0.218301,SPAM
0.128205,0.153846,0.153846,0.128205,0.102564,0.076923,0.051282,0,0,0.269406,SPAM
0.044444,0.061111,0.066667,0.116667,0.066667,0.055556,0.066667,0.044444,0.033333,0.18964,SPAM
0.024922,0.037383,0.051402,0.073209,0.066978,0.051402,0.082555,0.054517,0.034268,0.173457,SPAM
0.054054,0.054054,0.135135,0.216216,0.081081,0.135135,0.162162,0.108108,0,0.189076,SPAM
0.019523,0.039046,0.052061,0.095445,0.075922,0.073753,0.071584,0.058568,0.039046,0.181192,SPAM
0.089286,0.053571,0.071429,0.107143,0.089286,0.142857,0.107143,0,0.053571,0.154639,SPAM
0.028571,0,0.028571,0.085714,0.142857,0.171429,0.2,0.142857,0.114286,0.130909,SPAM
0.042945,0.09816,0.110429,0.110429,0.104294,0.08589,0.055215,0.09816,0.018405,0.189524,SPAM
0.042857,0.057143,0.071429,0.185714,0.114286,0.085714,0.085714,0.014286,0.028571,0.217391,SPAM
0.07234,0.07234,0.080851,0.093617,0.085106,0.051064,0.06383,0.029787,0.042553,0.217391,SPAM
0.015873,0.095238,0.222222,0.142857,0.142857,0.047619,0.063492,0.031746,0.015873,0.191327,SPAM
